Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
12/18/1990,330.0499878,330.4299927,325.75,326.019989,176460000
12/19/1990,330.2000122,330.7999878,329.3900146,330.0400085,180380000
12/20/1990,330.1199951,330.7399902,326.9400024,330.2000122,174700000
12/21/1990,331.75,332.4700012,330.1199951,330.1199951,233400000
12/24/1990,329.8999939,331.7399902,329.1600037,331.7399902,57200000
12/26/1990,330.8500061,331.6900024,329.8900146,329.8900146,78730000
12/27/1990,328.2900085,331.0400085,328.230011,330.8500061,102900000
12/28/1990,328.7200012,328.7200012,327.2399902,328.2900085,111030000
12/31/1990,330.2200012,330.230011,327.5,328.7099915,114130000
1/2/1991,326.4500122,330.75,326.4500122,330.2000122,126280000
1/3/1991,321.9100037,326.5299988,321.8999939,326.4599915,141450000
1/4/1991,321,322.3500061,318.8699951,321.9100037,140820000
1/7/1991,315.4400024,320.9700012,315.4400024,320.9700012,130610000
1/8/1991,314.8999939,316.9700012,313.7900085,315.4400024,143390000
1/9/1991,311.4899902,320.730011,310.9299927,314.8999939,191100000
1/10/1991,314.5299988,314.769989,311.5100098,311.5100098,124510000
1/11/1991,315.230011,315.2399902,313.5899963,314.5299988,123050000
1/14/1991,312.4899902,315.230011,309.3500061,315.230011,120830000
1/15/1991,313.730011,313.730011,311.8399963,312.4899902,110000000
1/16/1991,316.1700134,316.9400024,312.9400024,313.730011,134560000
1/17/1991,327.9700012,327.9700012,316.25,316.25,319080000
1/18/1991,332.230011,332.230011,327.0799866,327.9299927,226770000
1/21/1991,331.0599976,332.230011,328.8699951,332.230011,136290000
1/22/1991,328.3099976,331.2600098,327.8299866,331.0599976,177060000
1/23/1991,330.2099915,331.0400085,327.9299927,328.2999878,168620000
1/24/1991,334.7799988,335.8299866,330.1900024,330.2099915,223150000
1/25/1991,336.0700073,336.9200134,334.2000122,334.7799988,194350000
1/28/1991,336.0299988,337.4100037,335.8099976,336.0599976,141270000
1/29/1991,335.8399963,336.0299988,334.2600098,336.0299988,155740000
1/30/1991,340.9100037,340.9100037,335.7099915,335.7999878,226790000
1/31/1991,343.9299927,343.9299927,340.4700012,340.9200134,204520000
2/1/1991,343.0499878,344.8999939,340.3699951,343.9100037,246670000
2/4/1991,348.3399963,348.7099915,342.9599915,343.0499878,250750000
2/5/1991,351.2600098,351.8399963,347.2099915,348.3399963,290570000
2/6/1991,358.0700073,358.0700073,349.5799866,351.2600098,276940000
2/7/1991,356.519989,363.4299927,355.5299988,358.0700073,292190000
2/8/1991,359.3500061,359.3500061,356.019989,356.519989,187830000
2/11/1991,368.5799866,368.5799866,359.3200073,359.3599854,265350000
2/12/1991,365.5,370.5400085,365.5,368.5799866,256160000
2/13/1991,369.019989,369.4899902,364.6400146,365.5,209960000
2/14/1991,364.2200012,370.2600098,362.769989,369.019989,230750000
2/15/1991,369.0599976,369.4899902,364.230011,364.230011,228480000
2/19/1991,369.3900146,370.1099854,367.0499878,369.0599976,189900000
2/20/1991,365.1400146,369.3699951,364.3800049,369.3699951,185680000
2/21/1991,364.9700012,366.7900085,364.5,365.1400146,180770000
2/22/1991,365.6499939,370.9599915,364.230011,364.9700012,218760000
2/25/1991,367.2600098,370.1900024,365.1600037,365.6499939,193820000
2/26/1991,362.8099976,367.2600098,362.1900024,367.2600098,164170000
2/27/1991,367.7399902,368.3800049,362.8099976,362.8099976,211410000
2/28/1991,367.0700073,369.9100037,365.9500122,367.730011,223010000
3/1/1991,370.4700012,370.4700012,363.730011,367.0700073,221510000
3/4/1991,369.3299866,371.9899902,369.0700073,370.4700012,199830000
3/5/1991,376.7200012,377.8900146,369.3299866,369.3299866,253700000
3/6/1991,376.1700134,379.6600037,375.019989,376.7200012,262290000
3/7/1991,375.9100037,377.4899902,375.5799866,376.1600037,197060000
3/8/1991,374.9500122,378.6900024,374.4299927,375.9100037,206850000
3/11/1991,372.9599915,375.1000061,372.519989,374.9400024,161600000
3/12/1991,370.0299988,374.3500061,369.5499878,372.9599915,176440000
3/13/1991,374.5700073,374.6499939,370.0299988,370.0299988,176000000
3/14/1991,373.5,378.2799988,371.7600098,374.5899963,232070000
3/15/1991,373.5899963,374.5799866,370.2099915,373.5,237650000
3/18/1991,372.1099854,374.0899963,369.4599915,373.5899963,163100000
3/19/1991,366.5899963,372.1099854,366.5400085,372.1099854,177070000
3/20/1991,367.9200134,368.8500061,365.7999878,366.5899963,196810000
3/21/1991,366.5799866,371.0100098,366.5100098,367.9400024,199830000
3/22/1991,367.480011,368.2200012,365.5799866,366.5799866,160890000
3/25/1991,369.8299866,371.3099976,367.4599915,367.480011,153920000
3/26/1991,376.2999878,376.2999878,369.3699951,369.8299866,198720000
3/27/1991,375.3500061,378.480011,374.730011,376.2799988,201830000
3/28/1991,375.2200012,376.6000061,374.3999939,375.3500061,150750000
4/1/1991,371.2999878,375.2200012,370.269989,375.2200012,144010000
4/2/1991,379.5,379.5,371.2999878,371.2999878,189530000
4/3/1991,378.9400024,381.5599976,378.4899902,379.5,213720000
4/4/1991,379.769989,381.8800049,377.0499878,378.9400024,198120000
4/5/1991,375.3599854,381.1199951,374.1499939,379.7799988,187410000
4/8/1991,378.6600037,378.7600098,374.6900024,375.3500061,138580000
4/9/1991,373.5599976,379.019989,373.1099854,378.6499939,169940000
4/10/1991,373.1499939,374.8299866,371.2099915,373.5700073,167940000
4/11/1991,377.6300049,379.5299988,373.1499939,373.1499939,196570000
4/12/1991,380.3999939,381.0700073,376.8900146,377.6499939,198610000
4/15/1991,381.1900024,382.3200073,378.7799988,380.3999939,161800000
4/16/1991,387.6199951,387.6199951,379.6400146,381.1900024,214480000
4/17/1991,390.4500122,391.2600098,387.2999878,387.6199951,246930000
4/18/1991,388.4599915,390.9700012,388.1300049,390.4500122,217410000
4/19/1991,384.2000122,388.4599915,383.8999939,388.4599915,195520000
4/22/1991,380.9500122,384.1900024,380.1600037,384.1900024,164410000
4/23/1991,381.7600098,383.5499878,379.6700134,380.9500122,167840000
4/24/1991,382.7600098,383.019989,379.9899902,381.7600098,166800000
4/25/1991,379.25,382.8900146,378.4299927,382.8900146,166940000
4/26/1991,379.019989,380.1099854,376.769989,379.25,154550000
4/29/1991,373.6600037,380.9599915,373.6600037,379.0100098,149860000
4/30/1991,375.3399963,377.8599854,373.0100098,373.6600037,206230000
5/1/1991,380.2900085,380.4599915,375.269989,375.3500061,181900000
5/2/1991,380.519989,382.1400146,379.8200073,380.2900085,187090000
5/3/1991,380.7999878,381,378.8200073,380.519989,158150000
5/6/1991,380.0799866,380.7799988,377.8599854,380.7799988,129110000
5/7/1991,377.3200073,380.9100037,377.3099976,380.0799866,153290000
5/8/1991,378.5100098,379.2600098,376.2099915,377.3299866,157240000
5/9/1991,383.25,383.5599976,378.5100098,378.5100098,180460000
5/10/1991,375.7399902,383.9100037,375.6099854,383.2600098,172730000
5/13/1991,376.7600098,377.019989,374.6199951,375.7399902,129620000
5/14/1991,371.6199951,375.5299988,370.8200073,375.5100098,207890000
5/15/1991,368.5700073,372.4700012,365.8299866,371.5499878,193110000
5/16/1991,372.1900024,372.5100098,368.5700073,368.5700073,154460000
5/17/1991,372.3900146,373.0100098,369.4400024,372.1900024,174210000
5/20/1991,372.2799988,373.6499939,371.2600098,372.3900146,109510000
5/21/1991,375.3500061,376.6600037,372.2799988,372.2799988,176620000
5/22/1991,376.1900024,376.5,374.3999939,375.3500061,159310000
5/23/1991,374.9599915,378.0700073,373.5499878,376.1900024,173080000
5/24/1991,377.4899902,378.0799866,374.9700012,374.9700012,124640000
5/28/1991,381.9400024,382.1000061,377.1199951,377.4899902,162350000
5/29/1991,382.7900085,383.6600037,381.3699951,381.9400024,188450000
5/30/1991,386.9599915,388.1700134,382.5,382.7900085,234440000
5/31/1991,389.8299866,389.8500061,385.0100098,386.9599915,232040000
6/3/1991,388.0599976,389.8099976,386.9700012,389.8099976,173990000
6/4/1991,387.7399902,388.0599976,385.1400146,388.0599976,180450000
6/5/1991,385.0899963,388.230011,384.4500122,387.7399902,186560000
6/6/1991,383.6300049,385.8500061,383.1300049,385.1000061,168260000
6/7/1991,379.4299927,383.6300049,378.7600098,383.6300049,169570000
6/10/1991,378.5700073,379.75,377.9500122,379.4299927,127720000
6/11/1991,381.0499878,381.6300049,378.5700073,378.5700073,161610000
6/12/1991,376.6499939,381.0499878,374.4599915,381.0499878,166140000
6/13/1991,377.6300049,377.8999939,376.0799866,376.6499939,145650000
6/14/1991,382.2900085,382.2999878,377.6300049,377.6300049,167950000
6/17/1991,380.1300049,382.3099976,380.1300049,382.2999878,134230000
6/18/1991,378.5899963,381.8299866,377.9899902,380.1300049,155200000
6/19/1991,375.0899963,378.5700073,374.3599854,378.5700073,156440000
6/20/1991,375.4200134,376.2900085,373.8699951,375.0899963,163980000
6/21/1991,377.75,377.75,375.3299866,375.4200134,193310000
6/24/1991,370.9400024,377.7399902,370.730011,377.7399902,137940000
6/25/1991,370.6499939,372.6199951,369.5599976,370.9400024,155710000
6/26/1991,371.5899963,372.730011,368.3399963,370.6499939,187170000
6/27/1991,374.3999939,374.3999939,371.5899963,371.5899963,163080000
6/28/1991,371.1600037,374.3999939,367.980011,374.3999939,163770000
7/1/1991,377.9200134,377.9200134,371.1799927,371.1799927,167480000
7/2/1991,377.4700012,377.9299927,376.6199951,377.9200134,157290000
7/3/1991,373.3299866,377.4700012,372.0799866,377.4700012,140580000
7/5/1991,374.0799866,375.5100098,372.1700134,373.3399963,69910000
7/8/1991,377.9400024,377.9400024,370.9200134,374.0899963,138330000
7/9/1991,376.1099854,378.5799866,375.3699951,377.9400024,151820000
7/10/1991,375.7399902,380.3500061,375.2000122,376.1099854,178290000
7/11/1991,376.9700012,377.6799927,375.5100098,375.730011,157930000
7/12/1991,380.25,381.4100037,375.7900085,376.9700012,174770000
7/15/1991,382.3900146,383,380.2399902,380.2799988,161750000
7/16/1991,381.5400085,382.9400024,380.7999878,382.3900146,182990000
7/17/1991,381.1799927,382.8599854,381.1300049,381.5,195460000
7/18/1991,385.3699951,385.3699951,381.1799927,381.1799927,200930000
7/19/1991,384.2200012,385.8299866,383.6499939,385.3800049,190700000
7/22/1991,382.8800049,384.5499878,381.8399963,384.2099915,149050000
7/23/1991,379.4200134,384.8599854,379.3900146,382.8800049,160190000
7/24/1991,378.6400146,380.4599915,378.2900085,379.4200134,158700000
7/25/1991,380.9599915,381.1300049,378.1499939,378.6400146,145800000
7/26/1991,380.9299927,381.7600098,379.8099976,380.9599915,127760000
7/29/1991,383.1499939,383.1499939,380.4500122,380.9299927,136000000
